"Timestamp"	"Prolific_ID"	"Consent"	"cond"	"response"	"Normal_Utt"	"Normal_Utt_latinized"	"Normal_Utt_gloss"	"Specificity"
"3/17/2021 11:49:14"	"5dbc61a0df0b4820e71a0e99"	"Я согласен/на"	"target_h1"	"пальце"	"палец"	"palets"	"finger"	0
"3/17/2021 11:49:14"	"5dbc61a0df0b4820e71a0e99"	"Я согласен/на"	"target_f1"	"ноге на пальце"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"3/17/2021 11:49:14"	"5dbc61a0df0b4820e71a0e99"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"3/17/2021 11:49:14"	"5dbc61a0df0b4820e71a0e99"	"Я согласен/на"	"target_h5"	"пальце"	"палец"	"palets"	"finger"	0
"3/17/2021 16:31:34"	"5a84b48c000dab00018c989f"	"Я согласен/на"	"target_f4"	"Пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"3/17/2021 16:31:34"	"5a84b48c000dab00018c989f"	"Я согласен/на"	"target_h4"	"Пальце"	"палец"	"palets"	"finger"	0
"3/17/2021 16:31:34"	"5a84b48c000dab00018c989f"	"Я согласен/на"	"target_h1"	"Большом пальце руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"3/17/2021 16:31:34"	"5a84b48c000dab00018c989f"	"Я согласен/на"	"target_f1"	"Большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"3/17/2021 16:31:34"	"5a84b48c000dab00018c989f"	"Я согласен/на"	"target_f5"	"Мизинце"	"мизинец"	"mizinets"	"pinky"	1
"3/17/2021 16:31:34"	"5a84b48c000dab00018c989f"	"Я согласен/на"	"target_h5"	"Мизинце руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"3/17/2021 17:00:57"	"5bf461d810917a0001f30964"	"Я согласен/на"	"target_f4"	"безымянном пальце левой ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"3/17/2021 17:00:57"	"5bf461d810917a0001f30964"	"Я согласен/на"	"target_h4"	"безымянном пальце левой руки"	"безымянный палец руки"	"bezymyannyĭ palets ruki"	"nameless finger of the hand"	1
"3/17/2021 17:00:57"	"5bf461d810917a0001f30964"	"Я согласен/на"	"target_h1"	"большом пальце левой руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"3/17/2021 17:00:57"	"5bf461d810917a0001f30964"	"Я согласен/на"	"target_f1"	"большом пальце правой ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"3/17/2021 17:00:57"	"5bf461d810917a0001f30964"	"Я согласен/на"	"target_f5"	"мизинце правой ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"3/17/2021 17:00:57"	"5bf461d810917a0001f30964"	"Я согласен/на"	"target_h5"	"мизинце левой руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"3/17/2021 17:19:01"	"5f529a01b9922d57f46fcf89"	"Я согласен/на"	"target_f4"	"безымянном пальце левой ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"3/17/2021 17:19:01"	"5f529a01b9922d57f46fcf89"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"3/17/2021 17:19:01"	"5f529a01b9922d57f46fcf89"	"Я согласен/на"	"target_h1"	"большом пальце"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"3/17/2021 17:19:01"	"5f529a01b9922d57f46fcf89"	"Я согласен/на"	"target_f1"	"большом пальце правой ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"3/17/2021 17:19:01"	"5f529a01b9922d57f46fcf89"	"Я согласен/на"	"target_f5"	"мизинце правой ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"3/17/2021 17:19:01"	"5f529a01b9922d57f46fcf89"	"Я согласен/на"	"target_h5"	"мизинце левой руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"3/17/2021 19:17:23"	"5c7bee67a7e5ae001665c210"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"3/17/2021 19:17:23"	"5c7bee67a7e5ae001665c210"	"Я согласен/на"	"target_h4"	"безымянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"3/17/2021 19:17:23"	"5c7bee67a7e5ae001665c210"	"Я согласен/на"	"target_h1"	"большом пальце"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"3/17/2021 19:17:23"	"5c7bee67a7e5ae001665c210"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"3/17/2021 19:17:23"	"5c7bee67a7e5ae001665c210"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"3/17/2021 19:17:23"	"5c7bee67a7e5ae001665c210"	"Я согласен/на"	"target_h5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"3/18/2021 3:07:14"	"5f64d5a98860bd0548282415"	"Я согласен/на"	"target_f4"	"безымяннем пальце ноги"	"безымянный палец руки"	"bezymyannyĭ palets ruki"	"nameless finger of the hand"	1
"3/18/2021 3:07:14"	"5f64d5a98860bd0548282415"	"Я согласен/на"	"target_h4"	"безымянном пальце руки"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"3/18/2021 3:07:14"	"5f64d5a98860bd0548282415"	"Я согласен/на"	"target_h1"	"большой пальце руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"3/18/2021 3:07:14"	"5f64d5a98860bd0548282415"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"3/18/2021 3:07:14"	"5f64d5a98860bd0548282415"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"3/18/2021 3:07:14"	"5f64d5a98860bd0548282415"	"Я согласен/на"	"target_h5"	"мизинце руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"3/18/2021 3:17:39"	"5f6b3b198eb72123444ab95e"	"Я согласен/на"	"target_f4"	"Пальце"	"палец"	"palets"	"finger"	0
"3/18/2021 3:17:39"	"5f6b3b198eb72123444ab95e"	"Я согласен/на"	"target_h4"	"БезЫмянном пальце"	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"3/18/2021 3:17:39"	"5f6b3b198eb72123444ab95e"	"Я согласен/на"	"target_h1"	"Большом пальце"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"3/18/2021 3:17:39"	"5f6b3b198eb72123444ab95e"	"Я согласен/на"	"target_f1"	"Большом пальце"	"большой палец"	"bol'shoĭ palets"	"big finger"	1
"3/18/2021 3:17:39"	"5f6b3b198eb72123444ab95e"	"Я согласен/на"	"target_f5"	"Мизинце"	"мизинец"	"mizinets"	"pinky"	1
"3/18/2021 3:17:39"	"5f6b3b198eb72123444ab95e"	"Я согласен/на"	"target_h5"	"Мизинце"	"мизинец"	"mizinets"	"pinky"	1
"3/18/2021 3:30:49"	"5e6bdb0ab3ea9e19465ab62f"	"Я согласен/на"	"target_f4"	"Пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"3/18/2021 3:30:49"	"5e6bdb0ab3ea9e19465ab62f"	"Я согласен/на"	"target_h4"	"Безымянном пальце "	"безымянный палец"	"bezymyannyĭ palets"	"nameless finger"	1
"3/18/2021 3:30:49"	"5e6bdb0ab3ea9e19465ab62f"	"Я согласен/на"	"target_h1"	"Пальце руки"	"палец руки"	"palets nogi"	"finger of the leg"	0
"3/18/2021 3:30:49"	"5e6bdb0ab3ea9e19465ab62f"	"Я согласен/на"	"target_f1"	"Большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"3/18/2021 3:30:49"	"5e6bdb0ab3ea9e19465ab62f"	"Я согласен/на"	"target_f5"	"Мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"3/18/2021 3:30:49"	"5e6bdb0ab3ea9e19465ab62f"	"Я согласен/на"	"target_h5"	"Руке"	"руки"	"ruki"	"hand"	1
