"Timestamp"	"Prolific_ID"	"Consent"	"cond"	"response"	"Normal_Utt"	"Normal_Utt_latinized"	"Normal_Utt_gloss"	"Specificity"
"10/13/2020 17:29:44"	"5f4f793bd4ac640344d00707"	"Я согласен/на"	"target_h5"	"мезинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_f4"	"безымянном пальце левой ноги"	"безымянный палец ноги"	"bezymyannyĭ palets nogi"	"ring finger of the leg"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_h4"	"безымянном пальце левой руки"	"безымянный палец руки"	"bezymyannyĭ palets ruki"	"nameless finger of the hand"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_h1"	"большом пальце левой руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_f1"	"большом пальце правой ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_f5"	"мизинце правой ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
"10/13/2020 17:37:36"	"5d1e4a3ed4b9d60001ec8f1c"	"Я согласен/на"	"target_h5"	"мизинце левой руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_h4"	"пальце руки"	"палец"	"palets"	"finger"	0
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_h1"	"большом пальце руки"	"большой палец руки"	"bol'shoĭ palets ruki"	"big finger of the hand"	1
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_f1"	"большом  пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_f5"	"мизинце"	"мизинец"	"mizinets"	"pinky"	1
"10/13/2020 17:42:04"	"5e81041375b8e47f1bdf2aa4"	"Я согласен/на"	"target_h5"	"мизинце руки"	"мизинец руки"	"mizinets ruki"	"pinky of the hand"	1
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_f4"	"пальце ноги"	"палец ноги"	"palets nogi"	"finger of the leg"	0
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_h4"	"пальце"	"палец"	"palets"	"finger"	0
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_h1"	"пальце"	"палец"	"palets"	"finger"	0
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_f1"	"большом пальце ноги"	"большой палец ноги"	"bol'shoĭ palets nogi"	"big finger of the leg"	1
"10/13/2020 17:42:33"	"5d45e318be4f740001c3ae25"	"Я согласен/на"	"target_f5"	"мизинце ноги"	"мизинец ноги"	"mizinets nogi"	"pinky of the leg"	1
