usernum	cond	timestamp	leftright	order	expected	choice
23	filler_b_a	10/20/2020 15:52:36.223	0.188975073703663	3	back	back
23	target_h1_5	10/20/2020 15:52:42.138	0.486420455928059	4	either	thumb
23	target_h4_5	10/20/2020 15:52:45.341	0.280157344489457	5	either	ring_finger
23	target_h1_4	10/20/2020 15:52:47.662	0.640745155354129	6	either	thumb
23	filler_a_l	10/20/2020 15:52:49.985	0.630457249776558	7	arm_shoulder	arm_shoulder
23	filler_b_b	10/20/2020 15:52:51.566	0.766973974489705	8	either	back
23	target_f1_4	10/20/2020 15:52:59.571	0.80723598909481	9	either	big_toe
23	filler_l_l	10/20/2020 15:53:04.454	0.763861901200475	10	either	leg_calf
23	target_f1_5	10/20/2020 15:53:07.498	0.938616146407188	11	either	big_toe
23	target_f4_5	10/20/2020 15:53:10.205	0.636837913728417	12	either	ring_toe
24	target_h1_5	10/20/2020 15:52:52.952	0.436256371745007	1	either	thumb
24	target_f1_5	10/20/2020 15:53:03.417	0.241848144753934	2	either	big_toe
24	filler_a_l	10/20/2020 15:53:19.296	0.183436245265515	3	arm_shoulder	arm_shoulder
24	filler_b_a	10/20/2020 15:53:23.354	0.937477814572961	4	back	back
24	filler_b_b	10/20/2020 15:53:26.734	0.0422337479694797	5	either	back
24	target_f4_5	10/20/2020 15:53:31.037	0.848471785503538	6	either	ring_toe
24	filler_l_l	10/20/2020 15:53:37.777	0.358782231881381	7	either	leg_calf
24	target_h1_4	10/20/2020 15:53:40.947	0.513481625196622	8	either	ring_finger

24	filler_l_b	10/20/2020 15:53:43.138	0.823660379815013	9	leg_knee	leg_knee
24	target_f1_4	10/20/2020 15:53:47.752	0.791143525232659	10	either	ring_toe

24	target_h4_5	10/20/2020 15:53:50.232	0.893326471866207	11	either	ring_finger
24	filler_a_a	10/20/2020 15:53:53.750	0.564470255355449	12	either	arm_shoulder

25	target_f1_5	10/20/2020 15:58:08.364	0.948618856099532	1	either	big_toe
25	filler_a_a	10/20/2020 15:58:14.573	0.900745082953112	2	either	arm_shoulder

25	target_h1_4	10/20/2020 15:58:21.396	0.33484034596859	3	either	thumb
25	target_h1_5	10/20/2020 15:58:29.014	0.738651807260798	4	either	thumb
25	filler_l_b	10/20/2020 15:58:33.431	0.941909144007699	5	leg_knee	leg_knee
25	target_h4_5	10/20/2020 15:58:40.010	0.141076509215967	6	either	pinky

25	filler_l_l	10/20/2020 15:58:45.788	0.395486354203062	7	either	leg_calf
